round_date,visa_subclass,total_invited_round,tie_break_yyyymm,occupation,min_points
2025-11-13,189,10000,2025-11,Actuary,85
2025-11-13,189,10000,2025-11,Agricultural Consultant,85
2025-11-13,189,10000,2025-11,Agricultural Scientist,85
2025-11-13,189,10000,2025-11,Airconditioning and Mechanical Services Plumber,65
2025-11-13,491_family,300,2025-10,Airconditioning and Mechanical Services Plumber,70
2025-11-13,189,10000,2025-11,Architect,85
2025-11-13,189,10000,2025-11,Artistic Director,85
2025-11-13,189,10000,2025-11,Arts Administrator or Manager,85
2025-11-13,189,10000,2025-11,Audiologist,75
2025-11-13,491_family,300,2025-10,Audiologist,80
2025-11-13,189,10000,2025-11,Automotive Electrician,85
2025-11-13,189,10000,2025-11,Barrister,90
2025-11-13,189,10000,2025-11,Biochemist,85
2025-11-13,189,10000,2025-11,Biotechnologist,85
2025-11-13,189,10000,2025-11,Boat Builder and Repairer,85
2025-11-13,189,10000,2025-11,Botanist,85
2025-11-13,189,10000,2025-11,Bricklayer,65
2025-11-13,491_family,300,2025-10,Bricklayer,70
2025-11-13,189,10000,2025-11,Cabinetmaker,85
2025-11-13,189,10000,2025-11,Cardiologist,80
2025-11-13,491_family,300,2025-10,Cardiologist,80
2025-11-13,189,10000,2025-11,Carpenter,65
2025-11-13,491_family,300,2025-10,Carpenter,65
2025-11-13,189,10000,2025-11,Carpenter and Joiner,65
2025-11-13,491_family,300,2025-10,Carpenter and Joiner,95
2025-11-13,189,10000,2025-11,Cartographer,90
2025-11-13,189,10000,2025-11,Chemical Engineer,85
2025-11-13,189,10000,2025-11,Chemist,85
2025-11-13,189,10000,2025-11,Child Care Centre Manager,75
2025-11-13,189,10000,2025-11,Chiropractor,85
2025-11-13,189,10000,2025-11,Civil Engineering Draftsperson,85
2025-11-13,189,10000,2025-11,Civil Engineering Technician,85
2025-11-13,189,10000,2025-11,Clinical Psychologist,80
2025-11-13,189,10000,2025-11,Construction Project Manager,85
2025-11-13,189,10000,2025-11,Dermatologist,100
2025-11-13,189,10000,2025-11,Diagnostic and Interventional Radiologist,80
2025-11-13,189,10000,2025-11,Drainer,70
2025-11-13,189,10000,2025-11,Early Childhood (Pre-primary School) Teacher,85
2025-11-13,491_family,300,2025-10,Early Childhood (Pre-primary School) Teacher,90
2025-11-13,189,10000,2025-11,Economist,85
2025-11-13,189,10000,2025-11,Electrical Engineering Draftsperson,85
2025-11-13,189,10000,2025-11,Electrical Engineering Technician,85
2025-11-13,189,10000,2025-11,Electrician (General),65
2025-11-13,491_family,300,2025-10,Electrician (General),65
2025-11-13,189,10000,2025-11,Electrician (Special Class),70
2025-11-13,189,10000,2025-11,Electronic Equipment Trades Worker,85
2025-11-13,189,10000,2025-11,Electronic Instrument Trades Worker (General),95
2025-11-13,189,10000,2025-11,Electronic Instrument Trades Worker (Special Class),95
2025-11-13,189,10000,2025-11,Emergency Medicine Specialist,75
2025-11-13,189,10000,2025-11,Engineering Manager,85
2025-11-13,189,10000,2025-11,Environmental Consultant,85
2025-11-13,189,10000,2025-11,Environmental Manager,85
2025-11-13,189,10000,2025-11,Environmental Research Scientist,85
2025-11-13,189,10000,2025-11,Environmental Scientists nec,85
2025-11-13,189,10000,2025-11,Fibrous Plasterer,65
2025-11-13,491_family,300,2025-10,Fibrous Plasterer,65
2025-11-13,189,10000,2025-11,Fitter (General),85
2025-11-13,189,10000,2025-11,Food Technologist,85
2025-11-13,189,10000,2025-11,Forester,85
2025-11-13,189,10000,2025-11,Gasfitter,65
2025-11-13,491_family,300,2025-10,Gasfitter,80
2025-11-13,189,10000,2025-11,General Practitioner,75
2025-11-13,491_family,300,2025-10,General Practitioner,85
2025-11-13,189,10000,2025-11,Geophysicist,85
2025-11-13,189,10000,2025-11,Glazier,65
2025-11-13,189,10000,2025-11,Hydrogeologist,90
2025-11-13,189,10000,2025-11,Intensive Care Specialist,80
2025-11-13,189,10000,2025-11,Joiner,65
2025-11-13,189,10000,2025-11,Land Economist,85
2025-11-13,189,10000,2025-11,Landscape Architect,85
2025-11-13,189,10000,2025-11,Life Scientist (General),85
2025-11-13,189,10000,2025-11,Life Scientists nec,85
2025-11-13,189,10000,2025-11,Management Consultant,85
2025-11-13,189,10000,2025-11,Marine Biologist,85
2025-11-13,189,10000,2025-11,Materials Engineer,85
2025-11-13,189,10000,2025-11,Medical Diagnostic Radiographer,75
2025-11-13,491_family,300,2025-10,Medical Diagnostic Radiographer,85
2025-11-13,189,10000,2025-11,Medical Laboratory Scientist,85
2025-11-13,189,10000,2025-11,Medical Oncologist,80
2025-11-13,189,10000,2025-11,Medical Practitioners nec,75
2025-11-13,491_family,300,2025-10,Medical Practitioners nec,90
2025-11-13,189,10000,2025-11,Medical Radiation Therapist,75
2025-11-13,189,10000,2025-11,Metal Fabricator,85
2025-11-13,189,10000,2025-11,Metal Machinist (First Class),95
2025-11-13,189,10000,2025-11,Metallurgist,85
2025-11-13,189,10000,2025-11,Microbiologist,85
2025-11-13,189,10000,2025-11,Midwife,75
2025-11-13,491_family,300,2025-10,Midwife,75
2025-11-13,189,10000,2025-11,Mining Engineer (excluding Petroleum),85
2025-11-13,189,10000,2025-11,Motorcycle Mechanic,85
2025-11-13,189,10000,2025-11,Multimedia Specialist,90
2025-11-13,189,10000,2025-11,Musician (Instrumental),90
2025-11-13,189,10000,2025-11,Natural and Physical Science Professionals nec,85
2025-11-13,189,10000,2025-11,Neurologist,80
2025-11-13,189,10000,2025-11,Nurse Practitioner,80
2025-11-13,189,10000,2025-11,Obstetrician and Gynaecologist,75
2025-11-13,189,10000,2025-11,Occupational Therapist,75
2025-11-13,491_family,300,2025-10,Occupational Therapist,80
2025-11-13,189,10000,2025-11,Ophthalmologist,80
2025-11-13,189,10000,2025-11,Optometrist,75
2025-11-13,491_family,300,2025-10,Optometrist,85
2025-11-13,189,10000,2025-11,Organisational Psychologist,80
2025-11-13,189,10000,2025-11,Orthopaedic Surgeon,85
2025-11-13,189,10000,2025-11,Osteopath,100
2025-11-13,189,10000,2025-11,Other Spatial Scientist,85
