,,,,
ANZSCO Code,Occupation,Skilled Work Regional visa (subclass 491),Skilled Nominated visa (subclass 190),Building and Construction pathway
121111,Aquaculture Farmer,Yes,,
121311,Apiarist,Yes,,
121312,Beef Cattle Farmer,Yes,,
131112,Sales And Marketing Manager,Yes,,
133111,Construction Project Manager,Yes,Yes,Yes
133112,Project Builder,Yes,,Yes
133211,Engineering Manager,Yes,Yes,Yes
133411,Manufacturer,Yes,Yes,
133511,Production Manager (Forestry),Yes,,
133512,Production Manager (Manufacturing),Yes,Yes,
133513,Production Manager (Mining),Yes,,
134111,Child Care Centre Manager,Yes,,
134212,Nursing Clinical Director,Yes,Yes,
141111,Cafe Or Restaurant Manager,Yes,,
141311,Hotel Or Motel Manager,Yes,,
141999,Accommodation And Hospitality Managers (Nec),Yes,,
231111,Aeroplane Pilot,Yes,,
232212,Surveyor,Yes,Yes,
232611,Urban And Regional Planner,Yes,,
233111,Chemical Engineer,Yes,Yes,
233112,Materials Engineer,Yes,Yes,
233211,Civil Engineer,Yes,Yes,
233212,Geotechnical Engineer,Yes,Yes,
233213,Quantity Surveyor,Yes,Yes,
233214,Structural Engineer,Yes,Yes,
233215,Transport Engineer,Yes,Yes,
233311,Electrical Engineer,Yes,Yes,
233411,Electronics Engineer,Yes,Yes,
233511,Industrial Engineer,Yes,Yes,
233512,Mechanical Engineer,Yes,Yes,
233513,Production Or Plant Engineer,Yes,Yes,
233611,Mining Engineer (Excluding Petroleum),Yes,Yes,
233612,Petroleum Engineer,Yes,Yes,
233912,Agricultural Engineer,Yes,Yes,
233913,Biomedical Engineer,Yes,Yes,
233915,Environmental Engineer,Yes,Yes,
233999,Engineering Professionals (Nec),Yes,Yes,
234111,Agricultural Consultant,Yes,Yes,
234112,Agricultural Scientist,Yes,Yes,
234113,Forester / Forest Scientist,Yes,Yes,
234211,Chemist,Yes,Yes,
234312,Environmental Consultant,Yes,Yes,
234399,Environmental Scientist (Nec),Yes,Yes,
234411,Geologist,Yes,Yes,
234413,Hydrogeologist,Yes,Yes,
234513,Biochemist,Yes,Yes,
234514,Biotechnologist,Yes,Yes,
234599,Life Scientists (Nec),Yes,Yes,
234611,Medical Laboratory Scientist,Yes,Yes,
234711,Veterinarian,Yes,Yes,
234915,Exercise Physiologist,Yes,​,
241111,Early Childhood (Pre Primary School) Teacher,Yes,Yes,
241213,Primary School Teacher,Yes,Yes,
241311,Middle School Teacher / Intermediate School Teacher,Yes,Yes,
241411,Secondary School Teacher,Yes,Yes,
241511,Special Needs Teacher,Yes,Yes,
241512,Teacher Of The Hearing Impaired,Yes,Yes,
241513,Teacher Of The Sight Impaired,Yes,Yes,
241599,Special Education Teachers (Nec),Yes,Yes,
242211,Vocational Education Teacher / Polytechnic Teacher,Yes,,
251111,Dietitian,Yes,,
251211,Medical Diagnostic Radiographer,Yes,Yes,
251212,Medical Radiation Therapist,Yes,Yes,
251213,Nuclear Medicine Technologist,Yes,Yes,
251214,Sonographer,Yes,Yes,
251311,Environmental Health Officer,Yes,,
251511,Hospital Pharmacist,Yes,,
251513,Retail Pharmacist,Yes,,
251912,Orthotist Or Prosthetist,Yes,,
252311,Dental Specialist,Yes,,
252312,Dentist,Yes,,
252411,Occupational Therapist,Yes,Yes,
252511,Physiotherapist,Yes,Yes,
252611,Podiatrist,Yes,Yes,
252711,Audiologist,Yes,Yes,
252712,Speech Pathologist / Speech Language Therapist,Yes,Yes,
253111,General Practitioner,Yes,Yes,
253112,Resident Medical Officer,Yes,Yes,
253211,Anaesthetist,Yes,,
253311,Specialist Physician (General Medicine),Yes,Yes,
253312,Cardiologist,Yes,Yes,
253313,Clinical Haematologist,Yes,Yes,
253314,Medical Oncologist,Yes,Yes,
253315,Endocrinologist,Yes,Yes,
253316,Gastroenterologist,Yes,Yes,
253317,Intensive Care Specialist,Yes,Yes,
