Subclass 190 Tasmanian Skilled Employment (TSE) Priority Roles,,
Applicants must have a valid skills assessment for an occupation listed in the “TSE Priority Occupations - eligible skills assessments” column to be eligible for the Tasmanian Skilled Employment Pathway under subclass 190.,,
,,
Applicants must also be working in a closely related role - one that falls in to the same ANZSCO 3-digit group. Examples of roles in the same group are listed in the second column.,,
,,
"For example, if someone has a skills assessment for Management Consultant but are employed as an Economist they may be eligible for subclass 190 nomination in the Tasmanian Skilled Employment Pathway.",,
,,
"TSE Priority Occupations - eligible skills assessments
Must have a skills assessment for one of these occupations","Examples of related roles
Not all occupations in the 3-digit ANZSCO group have been listed",Notes and caveats
"121311 Apiarist
121321 Poultry Farmer","121 Farmers and Farm Managers
121311 Apiarist
121321 Poultry Farmer
121322 Sheep Farmer
121399 Livestock Farmers nec",
"131112 Sales and Marketing Manager
131113 Advertising Manager","131 Advertising, Public Relations and Sales Managers
131112 Sales and Marketing Manager
131113 Advertising Manager
131114 Public Relations Manager",Employer must have operated in Tasmania for at least three years.
"132111 Corporate Services Managers
132211 Finance Managers
132311 Human Resource Managers
132511 Research and Development Managers","132 Business Administration Managers
132111 Corporate Services Managers
132211 Finance Managers
132311 Human Resource Managers
132411 Policy and Planning Managers
132511 Research and Development Managers",
"133111 Construction Project Manager
133211 Engineering Manager","133 Construction, Distribution and Production Managers
133111 Construction Project Manager
133112 Project Builder
133211 Engineering Manager
133511 Production Manager (Forestry)
133512 Production Manager (Manufacturing)
133513 Production Manager (Mining)
133611 Supply and Distribution Manager
133612 Procurement Manager",
"134212 Nursing Clinical Director
134213 Primary Health Organisation Manager
134214 Welfare Centre Manager
134299 Health and Welfare Services Managers nec
134311 School Principal","134 Education, Health and Welfare Services Managers
134111 Child Care Centre Manager
134211 Medical Administrator / Medical Superintendent
134212 Nursing Clinical Director
134213 Primary Health Organisation Manager
134214 Welfare Centre Manager
134299 Health and Welfare Services Managers nec
134411 Faculty Head
134412 Regional Education Manager
134499 Education Managers nec",
"135112 ICT Project Manager
135199 ICT Managers nec","135 ICT Managers
135111 Chief Information Officer
135112 ICT Project Manager
135199 ICT Managers nec",
"139911 Arts Administrator or Manager
139912 Environmental Manager
139913 Laboratory Manager
139914 Quality Assurance Manager
139999 Specialist Managers nec","139 Miscellaneous Specialist Managers
139911 Arts Administrator or Manager
139912 Environmental Manager
139913 Laboratory Manager
139915 Sports Administrator
139916 Quality Assurance Manager
139917 Regulatory Affairs Manager
139999 Specialist Managers nec",
"141111 Cafe or Restaurant Manager
141311 Hotel or Motel Manager","141 Accommodation and Hospitality Managers
141111 Cafe or Restaurant Manager
141211 Caravan Park and Camping Ground Manager
141311 Hotel or Motel Manager
141411 Licensed Club Manager
141911 Bed and Breakfast Operator
141912 Retirement Village Manager
141999 Accommodation and Hospitality Managers nec",
149913 Facilities Manager,"149 Miscellaneous Hospitality, Retail and Service Managers
149111 Amusement Centre Manager
149112 Fitness Centre Manager
149113 Sports Centre Manager
149211 Call or Contact Centre Manager
149212 Customer Service Manager
149311 Conference and Event Organiser
149411 Fleet Manager
149413 Transport Company Manager
149911 Boarding Kennel or Cattery Operator
149912 Cinema or Theatre Manager
149913 Facilities Manager
149914 Financial Institution Branch Manager
149915 Equipment Hire Manager
149999 Hospitality, Retail and Service Managers nec",
